,ResponseId,LocationLatitude,LocationLongitude,Sex,Age,EDuc,Etnia,Q69,Q70,Identity Fusion_1,Identity Fusion_2,Identity Fusion_3,Identity Fusion_4,Identity Fusion_5,Identity Fusion_6,Identity Fusion_7,Region,IdPol,IdPol_2_TEXT,IdF_1,IdF_2,IdF_3,IdF_4,IdF_5,IdF_6,IdF_7,OriPol_1,IdPolUribe_1,IdPolUribe_2,IdPolUribe_3,IdPolUribe_4,IdPolUribe_5,IdPolUribe_6,IdPolUribe_7,IdPolUribe_8,Control_1,Control_2,CollUnc_1,CollUnc_2,CollUnc_3,CollUnc_4,SRW_1,SRW_2,SRW_3,Q74_1,Q74_2,Q74_3,Q71_1,Q71_2,Q71_3,Q75_1,Q75_2,Q75_3,Q73_1,Q73_2,InterGroup_1,Q37_1,Intragroup_1,Q38_1,InterGcontact_1,InterGcontact_2,InterGcontact_3,InterGcontact_4,InterGcontact_5,InterGcontact_6,InterGcontact_7,InterGContacPetrist_1,InterGContacPetrist_2,InterGContacPetrist_3,InterGContacPetrist_4,InterGContacPetrist_5,InterGContacPetrist_6,InterGContacUribi_1,InterGContacUribi_2,InterGContacUribi_3,InterGContacUribi_4,InterGContacUribi_5,InterGContacUribi_6,OutGEmpUribis_1,OutGEmpUribis_2,OutGEmpUribis_3,EmpUribist_1,EmpUribist_2,EmpUribist_3,ConspiracyUribi_1,ConspiracyUribi_2,ConspiracyUribi_3,ConspiracyUribi_4,ConspiracyPetrist_1,ConspiracyPetrist_2,ConspiracyPetrist_3,ConspiracyPetrist_4,NormSoc_1,NormSoc_2,NormSoc_3,NormSoc_4,NormSoc_5,Salment_1,Salment_2,Salment_3,Salment_4,Salment_5,Salment_6,Salment_7,SatVida_1,SatVida_2,SatVida_3,SatVida_4,SatVida_5,O-C-Test_1,O-C-Test2_1,O-C-T3_1,O-C-T4_1,O-C-T5_1,Q52_1,Q53_1,Q54_1,Q55_1,Q56_1,ActRadic_1,ActRadic_2,ActRadic_3,Q76_1,Q76_2,Q76_3,Q72_1,Q72_2,Q72_3,Q72_4,Q78_1,Q78_2,Q78_3,Q78_4,Deshum_1,Deshum_2,Deshum_3,Q63,Q64,Q64_5_TEXT,Q78
1149,R_3IWbWJjeMm93Flg,3.4129,-76.5191,Una mujer,53.0,Universitario,Mestizo,CALI,VALLE DEL CAUCA,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Fuertemente en desacuerdo,Ni de acuerdo ni en desacuerdo,Del eje cafetero,Principalmente uribista,,En desacuerdo,En desacuerdo,En desacuerdo,Fuertemente en desacurdo,En desacuerdo,En desacuerdo,En desacuerdo,.,Completamente de acuerdo,Ni de acuerdo ni en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Algo de acuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente en desacuerdo,Un poco de acuerdo,Un poco en desacuerdo,Completamente de acuerdo,Completamente en desacuerdo,Completamente de acuerdo,Completamente en desacuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente en desacuerdo,Completamente en desacuerdo,Completamente de acuerdo,Completamente de acuerdo,Con muy pocas,,Con muchísimas,,Nunca,Nunca,Rara vez,Siempre,Nunca,Nunca,Rara vez,,,,,,,Algunas veces,Algunas veces,Algunas veces,Casi siempre,Frecuentemente,Algunas veces,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,,,,En desacuerdo,Un poco de acuerdo,Un poco de acuerdo,Un poco de acuerdo,,,,,100,74,89,100,100,No corresponden para nada con mis sentimientos,,Corresponde muy poco con mis sentimientos,,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,En desacuerdo,Cerca de 1 hora al día,Interfieren bastante,"Moderadamente, pero es manejable",Algunas veces,Algo de control,Entre 3 y 8 horas al dia,Interfieren bastante,"Moderadamente, pero es manejable",Rara vez. Algunas veces me ganan.,Poco control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,En desacuerdo,Para nada de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Para nada de acuerdo,Ni de acuerdo ni en desacuerdo,Para nada de acuerdo,100,,100,Otro,Federico (Fico) Gutierrez,,JaveCali8958190
1150,R_575uwf2n6wQIYQp,3.4129,-76.5191,Un hombre,64.0,Posgrado,Mestizo,CALI,VALLE DEL CAUCA,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Fuertemente de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Santandereano,Sólo de derecha,,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,.,Algo de acuerdo,Algo de acuerdo,De acuerdo,Algo en desacuerdo,En desacuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,.,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,Un poco de acuerdo,Completamente de acuerdo,Con varias,,Con varias,,Frecuentemente,Rara vez,Frecuentemente,Algunas veces,Algunas veces,Casi nunca,Rara vez,,,,,,,Algunas veces,Algunas veces,Rara vez,Frecuentemente,Frecuentemente,Algunas veces,Un poco en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,,,,Un poco de acuerdo,En desacuerdo,Un poco en desacuerdo,Completamente de acuerdo,,,,,53,79,35,80,42,Corresponde con mis sentimientos,Corresponde algo con mis sentimientos,Corresponde algo con mis sentimientos,Corresponde bastante con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde muy poco con mis sentimientos,De acuerdo,De acuerdo,Un poco de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Entre 3 y 8 horas al dia,Interfieren bastante,"Moderadamente, pero es manejable",La mayor parte del tiempo,Completo control,Entre 1 y 3 horas al día,Un poco,"Moderadamente, pero es manejable",La mayor parte del tiempo,Mucho control,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Un poco en desacuerdo,En desacuerdo,Para nada de acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Para nada de acuerdo,Ni de acuerdo ni en desacuerdo,Para nada de acuerdo,Moderadamente de acuerdo,83,21,41,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,JaveCali8958190
1152,R_7vjwLFb9bWgJe2R,,,Un hombre,52.0,Secundaria,Ninguna,CALI,VALLE DEL CAUCA,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,Fuertemente de acuerdo,Valluno,Sólo de derecha,,De acuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,,,,.,En desacuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Sí,Sí,De acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,R_1JDeiYdQUZEkwCG,,,Una mujer,49.0,Secundaria,Blanco,CALI,VALLE DEL CAUCA,En desacuerdo,De acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Algo en desacuerdo,Valluno,Uribista y/o de derecha,,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Algo de acuerdo,Completamente de acuerdo,Extrema derecha,Completamente de acuerdo,Completamente de acuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Fuertemente en desacuerdo,Algo de acuerdo,En desacuerdo,Sí,Nunca,De acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1154,R_5WR1xRbuLbn6DhD,3.4129,-76.5191,Un hombre,49.0,Posgrado,Mestizo,CALI,VALLE DEL CAUCA,De acuerdo,De acuerdo,Fuertemente de acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Valluno,Principalmente uribista,,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,En desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,.,,,,,Completamente de acuerdo,,,,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,Con muy pocas,,Con varias,,Nunca,Nunca,Nunca,Frecuentemente,Nunca,Nunca,Nunca,,,,,,,Casi nunca,Casi nunca,Casi nunca,Casi siempre,Casi siempre,Frecuentemente,Un poco en desacuerdo,En desacuerdo,Un poco en desacuerdo,,,,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,,,,,10,10,90,90,90,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Cerca de 1 hora al día,Un poco,Un poco,Siempre,Mucho control,Cerca de 1 hora al día,Un poco,Un poco,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,50,10,50,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,
1155,R_6243CwF5OkdWsqZ,,,Una mujer,59.0,Posgrado,Mestizo,CALI,VALLE DEL CAUCA,Algo de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,De acuerdo,Fuertemente de acuerdo,Valluno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,R_1T5Gg5S0XXLGDRf,6.2529,-75.5646,Un hombre,61.0,Posgrado,Mestizo,CALI,VALLE DEL CAUCA,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,Valluno,"Otro, ¿Cuál?",No creo en los partidos politicos,Fuertemente en desacurdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,.,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,En desacuerdo,Fuertemente en desacuerdo,Algo de acuerdo,Algo de acuerdo,En desacuerdo,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Completamente de acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,,,,,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,37,,21,Corresponde moderadamente con mis sentimientos,Corresponde algo con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde muy poco con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,Cerca de 1 hora al día,"Un poco, pero es manejable",Un poco,Algunas veces,Algo de control,Cerca de 1 hora al día,Un poco,"Moderadamente, pero es manejable",Algunas veces,Algo de control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Para nada de acuerdo,0,88,,Gustavo Petro,Gustavo Petro,,
1157,R_3CziGlrCkvcWXv3,3.0073,-76.488,Un hombre,34.0,Posgrado,Mestizo,CALI,VALLE DEL CAUCA,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Fuertemente de acuerdo,Fuertemente en desacuerdo,Fuertemente de acuerdo,Valluno,Sólo de derecha,,Fuertemente en desacurdo,Fuertemente en desacurdo,Fuertemente en desacurdo,De acuerdo,Fuertemente en desacurdo,Fuertemente en desacurdo,Fuertemente en desacurdo,Extrema derecha,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Sí,Sí,De acuerdo,De acuerdo,Un poco en desacuerdo,Un poco en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Un poco en desacuerdo,Un poco de acuerdo,Completamente en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,Con muchísimas,,Con varias,,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,Siempre,,,,,,,Siempre,Siempre,Siempre,Nunca,Nunca,Nunca,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,,,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,,,,,9,5,,100,50,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponden completamente con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Completamente en desacuerdo,Nada,Nada,Nada,Algunas veces,Completo control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,100,100,100,Gustavo Petro,No votaría,,JavCali(00008909547
1160,R_3BN1ISCfSFvQVH3,3.4129,-76.5191,Un hombre,35.0,Secundaria,Blanco,CALI,VALLE DEL CAUCA,De acuerdo,Algo de acuerdo,De acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,De acuerdo,Valluno,Sólo de derecha,,Algo de acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,De acuerdo,Extrema derecha,Completamente de acuerdo,Completamente de acuerdo,En desacuerdo,En desacuerdo,Algo de acuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,Sí,Sí,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Un poco de acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco en desacuerdo,En desacuerdo,Completamente de acuerdo,Completamente de acuerdo,Con muy pocas,,Con varias,,Algunas veces,Rara vez,Algunas veces,Rara vez,Casi nunca,Casi nunca,Algunas veces,,,,,,,Casi nunca,Casi nunca,Casi nunca,Algunas veces,Algunas veces,Algunas veces,Un poco de acuerdo,Un poco en desacuerdo,Un poco de acuerdo,,,,De acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,,,,,18,69,66,100,83,No corresponden para nada con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde algo con mis sentimientos,Corresponden completamente con mis sentimientos,No corresponden para nada con mis sentimientos,Un poco de acuerdo,Un poco de acuerdo,Completamente de acuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,Nada,Nada,Nada,Siempre,Completo control,Nada,Nada,Nada,Siempre,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,En desacuerdo,Completamente de acuerdo,Para nada de acuerdo,100,100,100,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,Javcali00008909547
1162,R_7zOSHRFYzDWsM0W,3.4129,-76.5191,Una mujer,39.0,Universitario,Mestizo,CALI,VALLE DEL CAUCA,Fuertemente en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,Valluno,Sólo de derecha,,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,.Centro,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Fuertemente en desacuerdo,En desacuerdo,En desacuerdo,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,De acuerdo,Con muchas,,Con muy pocas,,Algunas veces,Algunas veces,Frecuentemente,Frecuentemente,Algunas veces,Frecuentemente,Frecuentemente,,,,,,,Frecuentemente,Rara vez,Algunas veces,Rara vez,Rara vez,Algunas veces,De acuerdo,En desacuerdo,En desacuerdo,,,,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,,,,,1,3,5,6,3,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,En desacuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,En desacuerdo,Nada,Nada,Un poco,La mayor parte del tiempo,Algo de control,Nada,Nada,Nada,Rara vez. Algunas veces me ganan.,Algo de control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Un poco en desacuerdo,Un poco en desacuerdo,Un poco en desacuerdo,Un poco en desacuerdo,Un poco en desacuerdo,Moderadamente de acuerdo,28,28,28,Gustavo Petro,Sergio Fajardo,,0000890954
1163,R_5M08y85Epkfxd40,3.4129,-76.5191,Una mujer,58.0,Posgrado,Blanco,CALI,VALLE DEL CAUCA,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,Fuertemente de acuerdo,De acuerdo,De acuerdo,Fuertemente de acuerdo,Valluno,"Otro, ¿Cuál?",Centro,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,.Centro,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Fuertemente en desacuerdo,Fuertemente en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,Un poco en desacuerdo,De acuerdo,De acuerdo,Un poco en desacuerdo,Un poco en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,,,,,Rara vez,Algunas veces,Rara vez,Algunas veces,Rara vez,Rara vez,Rara vez,,,,,,,,,,,,,,,,,,,,,,,,,,,100,53,47,0,51,Corresponde bastante con mis sentimientos,Corresponde moderadamente con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,Nada,Nada,Nada,Algunas veces,Completo control,Nada,Nada,Nada,Algunas veces,Completo control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Un poco en desacuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,49,14,72,Federico (Fico) Gutierrez,Federico (Fico) Gutierrez,,JaveCali8958190
1164,R_1lxVXh6vMA1wjSi,3.4129,-76.5191,Un hombre,31.0,Universitario,Mestizo,CALI,VALLE DEL CAUCA,En desacuerdo,Fuertemente de acuerdo,,De acuerdo,Algo de acuerdo,En desacuerdo,De acuerdo,Valluno,"Otro, ¿Cuál?",Ninguno,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,.,Algo en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,,,,,Nunca,Nunca,Rara vez,Rara vez,Casi nunca,Nunca,Casi nunca,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,34,0,0,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde algo con mis sentimientos,Corresponde moderadamente con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde muy poco con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,Un poco en desacuerdo,Nada,Nada,Nada,La mayor parte del tiempo,Mucho control,Cerca de 1 hora al día,Un poco,"Moderadamente, pero es manejable",Siempre,Algo de control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,En desacuerdo,52,53,29,Gustavo Petro,No votaría,,JaveCali8953122
1165,R_1R9CPuqDIxqFhmO,3.4129,-76.5191,Un hombre,40.0,Secundaria,Ninguna,CALI,VALLE DEL CAUCA,De acuerdo,Fuertemente de acuerdo,De acuerdo,Fuertemente de acuerdo,Algo de acuerdo,De acuerdo,De acuerdo,De otra región. Cuàl?,Principalmente petrista,,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Sí,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Completamente de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,De acuerdo,Un poco de acuerdo,Un poco de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,,Con varias,,Con varias,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Rara vez,Frecuentemente,Algunas veces,Algunas veces,Algunas veces,Rara vez,Rara vez,Nunca,,,,,,,,,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,,,,,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Un poco de acuerdo,69,56,76,42,49,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde con mis sentimientos,No corresponden para nada con mis sentimientos,Corresponde con mis sentimientos,No corresponden para nada con mis sentimientos,De acuerdo,De acuerdo,De acuerdo,Un poco de acuerdo,En desacuerdo,Nada,Nada,Nada,Siempre,Mucho control,Nada,Nada,Nada,Siempre,Mucho control,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,Para nada de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Moderadamente de acuerdo,Moderadamente de acuerdo,Para nada de acuerdo,75,91,80,Gustavo Petro,Gustavo Petro,,00008909547
